Player Name,Team,Salary,Age,Role,Matches,Runs,Average,Strike-Rate,Wickets,BA,Economy,BSR,Team Final Position
Mayank Agarwal,Sunrisers Hyderabad,825,33,Batter,10,270,27,28,0,0,0,0,10th
Abhishek Sharma,Sunrisers Hyderabad,650,23,All rounder,11,226,21,143,2,62,10,36,10th
Bhuvneshwar Kumar,Sunrisers Hyderabad,420,34,Bowler,14,42,14,90,16,26.5,8.3,19.16,10th
Marco Jansen,Sunrisers Hyderabad,420,23,Bowler,8,39,13,90,10,27,9,16,10th
Kartik Tyagi,Sunrisers Hyderabad,400,23,Bowler,3,0,0,0,1,92,15,37,10th
Abdul Samad,Sunrisers Hyderabad,400,22,Batter,9,169,42,131,0,0,0,0,10th
Umran Malik,Sunrisers Hyderabad,400,24,Bowler,8,19,19,237,5,43,11,25,10th
T Natarajan,Sunrisers Hyderabad,400,32,Bowler,12,0,0,0,10,41,9,27,10th
Aiden Markaram,Sunrisers Hyderabad,260,29,All rounder,13,243,23,139,1,70,8.5,49,10th
Adil Rashid,Sunrisers Hyderabad,200,35,All rounder,2,0,0,0,2,28,8,18,10th
Glenn Phillips,Sunrisers Hyderabad,150,26,All rounder,5,39,8,178,1,20,7,18,10th
Mayank Markande,Sunrisers Hyderabad,100,25,Bowler,10,0,0,0,12,25,8,19,10th
Fazalhaq Farooqi,Sunrisers Hyderabad,50,23,Bowler,4,0,0,0,4,30,9,30,10th
Marcus Stoinis,Lucknow Super Giants,1000,34,All rounder,15,408,31,160,5,20,9,20,4th
Avesh Khan,Lucknow Super Giants,1000,27,Bowler,9,0,0,0,8,35,9,22,4th
Krunal Pandya,Lucknow Super Giants,825,32,All rounder,15,188,18,114,9,35,7.5,28,4th
Mark Wood,Lucknow Super Giants,750,33,Bowler,4,11,11,100,11,8,5,7,4th
Quinton De Kock,Lucknow Super Giants,675,30,Wicket-keeper,4,143,36,145,0,0,0,0,4th
Deepak Hooda,Lucknow Super Giants,575,28,All rounder,12,84,17,93,0,0,0,0,4th
Ravi Bishnoi,Lucknow Super Giants,400,23,Bowler,16,0,0,0,24,17,8,19,4th
Krishnappa Gowtham,Lucknow Super Giants,90,35,All rounder,7,61,15,165,3,39,7,32,4th
Daniel Sams,Lucknow Super Giants,75,29,Bowler,11,38,6,98,13,29,8,19,4th
Amit Mishra,Lucknow Super Giants,50,40,Bowler,7,0,0,0,7,21,8,17,4th
Kyle Mayers,Lucknow Super Giants,50,31,All rounder,13,379,30,145,0,0,0,0,4th
Jaydev Unadkat,Lucknow Super Giants,50,32,Bowler,4,0,0,0,0,92,11.5,100,4th
Romario Shepherd,Lucknow Super Giants,50,29,Bowler,1,0,0,0,0,0,0,0,4th
Naveen Ul Haq,Lucknow Super Giants,50,24,Bowler,8,0,0,0,11,20,8,16,4th
Rahul Tewatia,Gujarat Titans,900,29,All rounder,17,87,22,154,0,0,0,0,2nd
Shubman Gill,Gujarat Titans,800,24,Batter,17,890,60,158,0,0,0,0,2nd
Mohammad Shami,Gujarat Titans,625,33,Bowler,17,0,0,0,28,18,8,14,2nd
Josh Little,Gujarat Titans,440,24,Bowler,10,0,0,0,7,42,8.65,29,2nd
Yash Dayal,Gujarat Titans,320,26,Bowler,5,0,0,0,2,83,12,42,2nd
David Miller,Gujarat Titans,300,35,Batter,16,260,43,155,0,0,0,0,2nd
Abhinav Manohar,Gujarat Titans,260,29,Batter,9,114,19,190,0,0,0,0,2nd
Matthew Wade,Gujarat Titans,240,35,Wicket-keeper,10,160,26,154,0,0,0,0,2nd
Wriddhiman Saha,Gujarat Titans,190,38,Wicket-keeper,17,371,34,131,0,0,0,0,2nd
Vijay Shankar,Gujarat Titans,140,33,Batter,14,301,38,160,0,0,0,0,2nd
Mohit Sharma,Gujarat Titans,50,35,Bowler,14,0,0,0,27,14,8,8,2nd
Sai Sudharshan,Gujarat Titans,20,22,Batter,8,362,52,141,0,0,0,0,2nd
Noor Ahmed,Gujarat Titans,30,19,Bowler,13,0,0,0,16,23,8,18,2nd
